ra,dec,phot_g_mean_flux
63.64570356477526,30.983816540391828,3103711.635183686
56.40292990689023,29.894573821010756,2962738.553679024
61.06768176803119,32.844585132858505,304428.21038965945
67.9507681582183,32.919000180885305,4678886.017372577
64.40585268013001,33.72583456303259,502106.4868217033
67.09475771522541,36.940116886857574,194294.01917460858
79.45060089423552,31.62359693218221,454992.0084650928
77.0193883419963,32.44006391523481,611354.8365737973
81.66864249654304,33.81358814220013,9817604.912935091
82.24470309364169,35.85240771816471,769258.1496708998
82.40428618417795,37.619201065370476,615098.68590627
76.93488695541978,36.47481376700046,1596841.325057339
77.81412519271151,37.18519760952993,234957.76213479202
79.60765674930134,39.49197563694742,176702.06762583592
77.9858601886527,39.63097571640135,2428574.137059078
86.16450861934959,38.822477572861935,340271.2171269547
84.79992639463492,40.95965649680846,632575.3546909302
86.50809330901706,41.510846304868444,1524479.557008244
81.1423067450178,40.320620286337494,282138.1892787644
79.31707429836385,42.17174766469181,279940.29103066
87.56631946371935,44.41839056799294,442241.518673838
88.57059529102871,46.91798362338044,423742.9142927931
73.27001127363344,41.42125851186793,1029674.9620312068
77.65727570832847,41.8826339175883,710970.0752498969
76.22069666486361,42.61209970554229,254640.27476416182
68.11887170276013,41.41061379328378,1601964.3746855455
76.45561541774767,44.42992786989302,1363150.1027529219
75.09944910549567,46.93156711366112,359241.5534687534
81.30401063051865,44.92156015742464,1005901.0740572094
84.15428418768735,45.66584541405999,260299.78263830944
89.97481069785061,50.46400366607039,1354940.9709174004
79.61987299062625,49.05668322263134,571736.5872759933
86.8993213593528,51.22089354154348,291668.19448915485
55.308888149950086,31.996122166612444,304719.4748027078
61.581264248389225,35.79419546072273,315760.0330863697
54.152188060237485,33.96144044717625,551845.6139631358
52.79113004416449,37.403089439737705,525873.0866519536
54.21809903674769,39.16638866628143,1060759.8918156214
64.02353198605914,38.35071659216328,266886.3472950191
66.269108274458,41.055510924067136,181670.357764528
58.769427511242164,39.18838258393506,173814.83777388063
59.61160273147777,42.35780685415183,1186510.0434498854
64.53394351842299,44.887020345856016,2220960.1412166995
63.61239453820191,46.10030263064435,1290628.1187185936
52.32479134564767,39.88066594686934,707869.7582105561
50.56094320270211,41.13550964675228,506412.64775257214
