hip,tycho2_id,solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
,2352-565-1,1635378410781933568,138375290702275200,643837,2015.0,49.30931036263935,0.38494585408494686,36.27629393109964,0.2140866082025419,2.027094835780339,0.3605415442979815,23.67186398645577,3.0725614900907567,-20.147069632270572,1.2464862813178217,-0.566086,0.2566612,-0.62908286,0.63777345,-0.46653387,0.3251293,-0.4346475,0.3060393,-0.1561579,-0.90344673,88,88,88,82,0,6,,0.6989379738952355,381.22258662593595,true,6.84756,2.0025647,2.7717217E-5,5,13,false,0.3121208,0.4195366,0.44857574,0.59452534,-75.7119,10.004651,-45.174133,27.145926,114,298287.7653424305,211.31243291274535,11.838181462393461,NOT_AVAILABLE,153.15195531810193,-17.898516875879626,56.56916454129221,17.439894787809838
,2351-220-1,1635378410781933568,142041990182218624,1856359,2015.0,46.13741415559536,0.2935969711508636,36.95527990542096,0.1440101662632157,2.0947719871541697,0.22888846111585645,3.899689687705697,2.487973281581772,-6.706405035215782,1.0392047412303504,-0.536594,0.35841537,-0.6618937,0.6404239,-0.53147423,0.2765443,-0.34465468,0.07450007,0.0072910013,-0.9334884,79,79,78,75,1,4,,0.2603190079332649,139.48227035528785,true,2.713976,12.526494,2.7627793E-5,5,11,true,0.25393683,0.52298224,0.45856622,0.58395576,-82.07,13.320773,-42.846436,28.285643,96,766695.2354497021,1185.9527556350915,10.813213152877246,NOT_AVAILABLE,150.504854686884,-18.68940802563073,54.199879170499436,18.8081363202615
,1829-327-1,1635378410781933568,147501546450774784,485075,2015.0,68.90777021272166,0.44058726165943035,23.619668313496017,0.2965463206645489,2.4442923213397973,0.2655608435616507,-2.939579944974119,1.6399442685489776,-10.841331236355458,1.085273925699989,-0.6680638,0.42877516,-0.8736549,0.73436165,-0.47956774,0.7346742,-0.82302845,-0.34413683,0.24683155,-0.8803226,97,97,97,91,0,6,,0.5172497673575842,206.30963389805046,true,5.1119785,3.588264,2.1437687E-5,5,12,false,0.43156964,0.35196894,0.5003826,0.6168765,-61.08683,5.1080146,-33.935783,39.054096,104,3412312.8376226616,2799.1815998917527,9.192147963767464,NOT_AVAILABLE,175.1137475154679,-15.825972684213989,70.74048932881036,1.5796059257164985
,2389-513-1,1635378410781933568,156388074305482624,1343449,2015.0,77.4502794383049,0.4647138630426211,30.459675419708677,0.3241032840757956,3.772730689914834,0.22536546893899265,0.1535281050177253,2.4794512973119827,15.266039413591251,1.9221046337030538,-0.86226046,0.23994815,-0.75853884,0.751445,-0.43792832,0.6545695,-0.67194265,-0.115299605,0.20306586,-0.9671595,71,71,71,69,0,2,,0.3041697045575589,145.9730135380283,true,3.1130185,9.516077,2.2301761E-5,5,8,false,0.36445823,0.7356365,0.39997467,0.9120411,-125.38855,33.307873,-30.913157,35.95061,71,661901.266688737,393.95624262687784,10.97278703333108,NOT_AVAILABLE,174.41006332823804,-5.6251274447241855,79.11074224468283,7.493558369234352
,1823-2032-1,1635378410781933568,163195563108839552,760820,2015.0,63.1118946947416,0.4501286694283462,27.87679628665602,0.3020903808651043,0.8185784865288965,0.306655214100319,-3.7514310825052015,1.156833262117805,-3.987292799491147,0.6723978998039769,-0.46036372,0.3125015,-0.827656,0.5115663,-0.39511704,0.5772698,-0.91020316,-0.47865957,0.3759285,-0.566413,170,170,170,160,0,10,,0.745659461165151,527.7069928238641,true,7.295832,1.7630281,3.306265E-5,5,21,false,0.16449367,0.6286416,0.0957995,0.13824625,-155.9199,-8.4438095,-56.22995,-30.998184,186,339421.39584866434,561.9545084456428,11.6979220260009,NOT_AVAILABLE,168.17688940706114,-16.847302311726104,66.26818723743726,6.625809507735027
,1812-393-1,1635378410781933568,168118454623148672,1643290,2015.0,56.62667932040127,0.3679228287175521,29.927098447091137,0.17839855589260822,1.7570336321531246,0.3698436202951182,0.33526931663441073,1.7162603839687387,-4.691508940000899,0.7288664249032581,-0.29500827,0.34347114,-0.316787,0.48885947,-0.061635915,0.5443805,-0.7450153,0.20615286,0.31798244,-0.42523685,127,127,126,121,1,6,,0.6537231474371102,677.3320859150451,true,6.414353,2.1377687,2.7322074E-5,5,17,true,0.6997773,0.7733095,0.54413766,0.45039755,-13.319991,-3.85144,-11.163374,-3.7171128,147,733934.6053195671,4153.6735462166525,10.86062665047436,NOT_AVAILABLE,162.34887961934,-19.239816483693698,61.068004926786095,9.778385503461962
,2377-1346-1,1635378410781933568,172078792427206528,1607092,2015.0,67.86854978116187,0.7121478873446425,32.870180886547175,0.5593543605849322,1.4484079799167404,0.35736168149378983,3.986550167051512,2.5779863948450408,-5.982971238210624,1.966285377200869,-0.7819043,0.31930292,-0.9175892,0.8486415,-0.36936566,0.85029674,-0.9271423,-0.2429997,0.27445394,-0.9009532,79,79,79,74,0,5,,0.813444555427048,547.4952645096857,true,7.947119,1.4978728,3.994585E-5,5,10,false,0.61416084,0.36452895,0.48807934,0.6840425,-41.69249,-15.635582,-34.701187,41.795616,88,430218.20909075,6684.063187405741,11.440548093689413,NOT_AVAILABLE,167.3318692495766,-10.438138873195962,71.20441070395462,10.86370379626393
,2384-109-1,1635378410781933568,178202281919923712,162760,2015.0,66.89515289897825,0.7637427128699414,36.90663626838515,0.6927354705599313,2.734853142423688,0.49460722497435144,22.93623845217036,2.9159198269859146,-33.458046320459225,2.207934890246944,-0.74570566,0.4747614,-0.91311586,0.85183835,-0.63168186,0.83525795,-0.8974562,-0.43733606,0.47929952,-0.8962756,80,80,80,74,0,6,,1.034055896821917,308.89367871336384,true,10.071897,0.91521484,3.1751595E-5,5,11,false,0.6830851,0.3998608,0.65484357,0.809374,-55.031784,-33.15881,-39.686493,40.827755,96,291431.043227075,188.3725309252362,11.863430536503486,NOT_AVAILABLE,163.77744996683066,-8.28594729319798,71.04579405125835,14.975387732113592
,2393-163-1,1635378410781933568,181395744725854080,1952476,2015.0,77.2575881005782,0.5135249775063977,32.42547462575783,0.2871853727483789,3.8550561938073433,0.24660494882498626,-18.21591215890112,1.6344054976738827,-24.538422264377772,1.032935306004545,-0.80400264,0.5956791,-0.9480867,0.8566715,-0.6393351,0.82094955,-0.8674925,-0.52176905,0.44953418,-0.9071728,51,51,50,50,1,1,,0.24869235467601605,99.7639089728548,true,2.6095483,13.149011,2.6401856E-5,5,8,false,0.50102395,0.24340877,0.62048835,0.83663243,-60.08003,-10.01306,-39.568523,41.137047,60,1005858.4339630866,2197.576809800317,10.518427909443705,NOT_AVAILABLE,172.72076558696574,-4.595379240428338,79.12019083118379,9.466196197259475
,2415-1042-1,1635378410781933568,183350573318317056,688749,2015.0,82.18357598612187,0.3277224824301933,35.83130017326545,0.2844553617613209,1.2926758625998156,0.2502868154050259,1.8376272838138132,1.1829637402774718,-4.287777796068705,0.9656096979906715,-0.7015387,0.24049343,-0.8965191,0.85175425,-0.68500364,0.69712114,-0.7142718,-0.19369654,0.18976356,-0.9300258,88,88,88,88,0,0,,0.3346196306167655,152.66778728389662,true,3.393824,7.727452,1.9787425E-5,5,10,false,0.527418,0.2477768,0.67447394,0.8973879,-94.14109,22.17487,-32.622444,41.69913,81,2951398.319870761,3786.262501869589,9.349700499555087,NOT_AVAILABLE,172.2713013469762,0.69709990331268,83.51359554839024,12.567850834939701
