ra,dec,flux,l,b
68.11887170276013,41.41061379328378,1601964.3746855455,161.117919080039,-4.517362975603819
76.45561541774767,44.42992786989302,1363150.1027529219,162.7268041723007,2.09636942260315
75.09944910549567,46.93156711366112,359241.5534687534,160.16329122464404,2.868484320909162
81.30401063051865,44.92156015742464,1005901.0740572094,164.3282771940545,5.190020297512283
84.15428418768735,45.66584541405999,260299.78263830944,164.79147002155796,7.278489755673985
89.97481069785061,50.46400366607039,1354940.9709174004,162.49411241048455,13.02258564671723
79.61987299062625,49.05668322263134,571736.5872759933,160.24100979533267,6.563587912892946
86.8993213593528,51.22089354154348,291668.19448915485,160.8749274339731,11.665482263913225
55.308888149950086,31.996122166612444,304719.4748027078,160.02970618315314,-18.380569179692596
61.581264248389225,35.79419546072273,315760.0330863697,161.497648122576,-12.095897352443677
54.152188060237485,33.96144044717625,551845.6139631358,157.94356247772583,-17.451174399220484
52.79113004416449,37.403089439737705,525873.0866519536,154.8577637865504,-15.376147835571349
54.21809903674769,39.16638866628143,1060759.8918156214,154.6950952001733,-13.293199341833834
64.02353198605914,38.35071659216328,266886.3472950191,161.12538801331726,-8.902612185433853
66.269108274458,41.055510924067136,181670.357764528,160.41620012228208,-5.771434366935947
58.769427511242164,39.18838258393506,173814.83777388063,157.48911944962543,-11.059888708535027
59.61160273147777,42.35780685415183,1186510.0434498854,155.87931441724973,-8.24322359565667
64.53394351842299,44.887020345856016,2220960.1412166995,156.79119257509055,-3.969951050983656
63.61239453820191,46.10030263064435,1290628.1187185936,155.4805511943096,-3.5469815346122906
52.32479134564767,39.88066594686934,707869.7582105561,153.05068421898594,-13.58451495151266
50.56094320270211,41.13550964675228,506412.64775257214,151.18210571187345,-13.319509535319396
51.95564674823824,40.4507262108322,694316.9155643411,152.47474305433724,-13.283284355196944
47.66407850933477,39.21522327794361,791518.5832898745,150.3422338776203,-16.13468354933546
46.22115121760793,41.09110203896576,889337.6520168147,148.35389958144745,-15.10120140367809
51.35381238849663,43.60589998269123,761740.233161753,150.25840125262542,-10.946670450443627
49.067518389321314,44.39803799148242,420687.7939990948,148.41510103408763,-11.190058657766459
56.26406678353704,41.98844912545551,347380.0548638568,154.18362100163966,-10.110998351021767
56.48472286209023,45.2455286609428,3161021.8655450144,152.26646976556668,-7.456756749344503
59.439461486555366,45.97175606630529,207303.1432225328,153.41067809491767,-5.584063142290259
59.35556587556622,49.070616237087755,4167532.61295131,151.35333326996258,-3.2604393584120546
54.56633927570963,47.818111890368215,555516.9591897978,149.63676501404467,-6.215183597870973
56.1438413944915,49.493220240429565,580381.7582361158,149.45539705453513,-4.250783888832816
59.78961072092238,51.67545939264698,475257.84160342615,149.87406605169858,-1.097810545451873
58.84532747007861,53.557698013515584,7590033.196073803,148.22161816147184,-0.02959300968130555
70.00292151924081,45.772570241790085,357298.45321080065,158.80264747086997,-0.575598967757818
72.97783683953028,47.783350167789436,509237.07275504956,158.59850732193212,2.279189758281412
68.95314408496023,47.38527299736281,558094.33620079,157.12134543402573,-0.0327916136037358
72.69272432492045,50.914523071463805,442053.203080436,156.0597028389242,4.126852581654354
77.5805965262104,50.00863354215607,675624.6937433896,158.69016546581528,6.033070563239122
85.29966115579096,52.39313008516471,2495030.400866629,159.33628555717942,11.383901652541333
89.00112735189822,56.096167011969634,184187.5354750497,157.04176900723667,15.043220492730326
80.418611822527,55.13836144082519,668524.8247767179,155.41701737623282,10.367383511217772
84.75649426940315,57.004259960103575,496073.86086094246,155.08059272685892,13.405429917418202
67.58423201338078,51.121187309807816,950180.9498562111,153.7754011240251,1.8546595046203833
67.50022889218683,53.87281042866734,2317491.820021377,151.73713964689694,3.706597426944813
72.72818965550879,55.441765390453064,405778.6403148905,152.5551809585424,7.013562963700469
61.97229314540762,53.73115104948615,603597.1609317228,149.50564452403393,1.3184014891048879
71.23410191727594,56.3001101899636,1792714.3118298762,151.35048880057977,6.9166730495317195
72.55758558498196,58.975974280224115,496891.18690597964,149.72311604626077,9.167264175475092
76.16065536253421,58.25864035428814,1681554.1670164177,151.45879677511087,10.219281381471212
83.8480542326518,59.87016677992753,163310.66967789343,152.27216743063244,14.40932493881756
78.48138837591843,60.05150094569964,1533628.1193932986,150.65882821159795,12.222598914290128
83.6612919341311,62.18654748077771,154577.3889028277,150.13929064336546,15.471008963777159
82.64781327203889,63.9549901943157,1.0133023120790878E7,148.30568669507647,15.942369296545111
23.19408489995407,22.725982623178886,348071.62265919003,135.25276238050355,-39.1547434644646
20.135779615588326,24.043730785945705,905687.7568447988,131.413080059005,-38.348241048591106
22.114627314270997,27.14893684611547,2494442.8467967315,132.9933278311333,-34.99850571402154
27.941711730729796,28.135539770057733,864212.9347499444,138.78678484190945,-32.872030345226186
31.314598369615524,31.075798354866453,444034.11751299206,141.0253854294853,-29.189133230147633
23.8219312576691,30.670886726912496,2999118.295107062,133.96304676864943,-31.259861614014874
27.06743874084662,32.861374282663576,972788.4165580954,136.50090378278742,-28.50851591691461
14.723620824728076,26.73988481832452,355397.67392892356,124.99245915365783,-36.102030711251714
19.35864010169534,31.54190488196389,1497019.7058235912,129.393931036344,-31.003446899944635
17.418630212634977,30.81106335961038,1654610.8246638281,127.54415747075628,-31.89731625395398
22.229281973024147,30.312964729429588,1808569.4202578226,132.45741876887303,-31.864615540283403
22.18347235015309,34.11056679598935,451826.8008512811,131.6809030717983,-28.126790850446785
25.08886106418997,35.671153840511,238146.48329790973,133.9840786870525,-26.148571176142703
18.403153087150084,34.93278238511853,5390476.454630277,128.06474453303048,-27.717869468816573
23.966350835007724,38.610037260527804,956435.4363909437,132.37556020066788,-23.44566488999853
33.81137624842716,30.709597079979503,218875.34952982044,143.46990324942945,-28.798066440073242
32.65874346132644,33.93813964286775,440616.95880821126,141.17002550909825,-26.11327211667186
34.55000641844144,35.315602550359614,1.0121373266890073E7,142.25199804378988,-24.28006258399648
33.2235061701234,35.32215258321473,7845782.845420861,141.1359248987309,-24.653659117790312
33.59848157906056,36.44719676704682,489063.59765174985,141.0269235236127,-23.4925777448132
31.46841940098977,38.112567600018366,784366.9786425848,138.6974037038213,-22.469752666303872
38.770764714494824,37.53516422026039,378813.8519692217,144.7066443398174,-20.915334325734396
38.13434779801032,39.88649879605044,271585.71104786114,143.20134858566087,-18.972837207665176
43.98087201193511,41.80670743133736,1.1875471498689264E7,146.47422152438926,-15.30444062695969
41.51114800070418,43.75474442941928,3060227.912029302,143.8833562527912,-14.405488244707632
38.30184133284194,42.827477852914875,299592.15895080904,142.08814862340017,-16.227018692398254
36.2936585388886,43.545437743761255,1.523358826502646E7,140.39351421389085,-16.125325635319783
39.25720561444009,45.08198033733707,522246.25306186895,141.7994222076983,-13.886542525293656
39.674838274660765,46.53757511857585,258084.1812125526,141.46024804873457,-12.439333509781239
30.874311082760617,38.6683727822196,309606.1154212057,138.03621754006693,-22.080648136456837
26.856234031412757,40.15223374560431,509871.7860650461,134.3900879752286,-21.470572261052357
31.84807760791834,42.63653065552004,434895.31728610257,137.51569710764446,-18.074093497297024
24.977910180898995,39.66837126722141,163378.73575405002,132.98748028607702,-22.2550282963728
22.561604026935477,41.85931066589655,9991597.568220971,130.62937047236522,-20.431667220037802
29.287080556460268,44.05204280885758,214033.65973956286,135.2196988616567,-17.24628912149463
24.902445337649915,46.60806934514112,1077080.4849310538,131.4846025676634,-15.462165726344768
34.396343533829736,46.095743850213104,635819.7625670707,138.15671120504564,-14.213821784821931
32.08071746658181,46.99265922085463,1114754.936921739,136.3057238820682,-13.872827464165233
37.368738381798444,49.06157721064147,857080.2444094646,138.99283658954064,-10.728746035111415
33.66400283124709,49.975682563613134,371708.4803513795,136.37456958279594,-10.711499090934204
30.128830316387926,47.728257704493494,504803.1199598923,134.78483019182144,-13.547421846839573
31.490882013745203,49.3712102074457,206980.28538258406,135.19833841974298,-11.717352039012562
32.68362533417775,51.520006947141646,516656.2961684994,135.28411171321997,-9.439906040124269
30.055588822460887,52.27305335586485,1059624.5250034176,133.4911760987576,-9.182825626934404
9.715939852051173,33.03776281246363,1074981.425208969,119.89639907159446,-29.759864636646036
13.632301108769235,35.598014179773706,232977.5154210517,123.63888508193202,-27.269492435978268
7.076148046248065,35.29848274240871,4667428.889191947,117.61995993349738,-27.334551950035983
11.001658998473623,38.53276365538698,912456.2872666221,121.33723592195912,-24.315975556577374
18.095398241726308,38.12015971575267,400460.670694262,127.45953610864679,-24.567401024613332
17.429382400183062,40.398675961834414,242735.04015519377,126.69325033939393,-22.339535467791094
18.369002170493015,40.91966295757669,225981.37704673086,127.41214715224143,-21.760295810555245
13.363732150063537,39.78489392802038,1321630.2848181422,123.35314252839241,-23.085206419474492
11.844290783996819,42.620483365132316,271696.76704047987,122.13571463755322,-20.244988800980934
17.47584418758764,45.00176004540388,998560.0045450716,126.35751556220197,-17.747134808248237
13.47371724278283,45.9448599568441,1246696.2271338124,123.37836258628955,-16.924760259218225
3.7897031348380716,39.67530027039711,282034.4565753823,115.37667707571107,-22.663635549907585
6.000679760398056,42.408741801697964,657959.6247312414,117.5415802271417,-20.175681343222056
4.5431330360730895,41.478531959903634,328782.78533764585,116.26807098122622,-20.962390705950405
1.24685662036182,44.04608358244578,202842.1502174563,114.17967830910563,-18.034856871925545
3.81775249927442,45.1792049778602,1.2806459123040058E7,116.27190212575452,-17.22433809982059
1.1293347530770548,46.6222891043664,252437.7234530289,114.60093141165949,-15.489077113967314
6.20476482869798,44.96388431070817,292115.12032073125,117.99568965326026,-17.65258550363559
10.894321592476382,48.06325629270627,565388.636700924,121.57373404899879,-14.7877631480763
5.184704728399075,46.15590327248945,225015.6954301196,117.39850601358103,-16.38575431459239
4.662811579794209,48.32223517748219,603016.44282427,117.32023084287124,-14.191949659734771
1.355012101469934,49.0833641500229,501842.7422436291,115.22432219993499,-13.098482322034808
6.066942826659642,50.30594077395777,4985756.1991649745,118.49711628076248,-12.331705382055363
2.7641608285805557,50.82938851796959,451656.0038102918,116.44376394442763,-11.532948756446178
2.3674779808389377,52.663965352269194,418259.5172397228,116.49919014858278,-9.682815068580092
23.059896114291238,44.279210251696085,229316.81932787126,130.59233948992784,-17.984806410262955
20.395570945139614,46.7584059152326,486159.0523465204,128.28977096446238,-15.799509504726302
22.940187247364793,48.60829105052295,2474179.285518694,129.77420336110626,-13.727024740666373
21.84630340540023,50.41896787374789,918828.1167722341,128.77307564316138,-12.044641808975022
14.914841339907262,47.55993552796942,265256.457240914,124.36964716639973,-15.288862446516722
19.108176015125984,48.76344178027831,180563.03906885145,127.1706295843437,-13.902490281982558
15.544597245122572,50.72772542244829,1126030.1907856616,124.66991686034086,-12.107776398118148
15.9670839483453,53.65280592857884,1566382.4138505696,124.7970034859694,-9.17392330426307
24.911462072909615,52.179275794722656,1039178.1647817919,130.4018566432985,-9.991890137497064
28.02459915253378,51.80608771205496,176092.648170981,132.38410034819415,-9.948917206509835
28.380770469595337,54.39918626226356,1944473.3200698446,131.96926412338354,-7.37954290766261
23.923850397733915,54.351089271585906,339927.40925802547,129.41663883161362,-7.96247687787553
24.15735340790788,55.838264020800175,230916.75829347677,129.28848592197903,-6.474736391437622
19.472051693601014,54.04810842640217,400406.75072236767,126.8529245932318,-8.622148832067136
17.826105021990934,55.41415236130592,2604178.057060476,125.7721259808306,-7.348002625965547
21.175427625785126,55.66336619449154,672367.4096179361,127.64556538905887,-6.903653635605818
22.41445722748065,57.73106855154632,276559.72478798754,128.03397704451663,-4.761573024451985
17.729983292562494,58.09896092862051,1028559.3797326416,125.51211081221793,-4.675154744781169
10.242412207206916,49.868285274371395,2445900.38188191,121.20128622908304,-12.968285042762396
8.759359188726153,53.154206793951346,1117017.3688885628,120.4393676140646,-9.638152046318861
10.483768727583456,54.344057906822904,718690.2130694014,121.53195338076732,-8.50185899060093
8.246212835479499,55.78744452029031,369395.48972265795,120.32053429312793,-6.990713371775132
4.849991965178794,53.139349651626354,183982.809596298,118.07146735144825,-9.429783837657242
5.126823148858985,54.942754877987724,450111.38738956605,118.45938223532907,-7.660168845637285
1.1462400357150209,54.92043715071187,1593226.3002251964,116.17614828618653,-7.3355663911810804
