ra,dec,phot_g_mean_flux,l,b
72.55758558498196,58.975974280224115,496891.18690597964,149.72311604626077,9.167264175475092
83.8480542326518,59.87016677992753,163310.66967789343,152.27216743063244,14.40932493881756
83.6612919341311,62.18654748077771,154577.3889028277,150.13929064336546,15.471008963777159
23.19408489995407,22.725982623178886,348071.62265919003,135.25276238050355,-39.1547434644646
22.114627314270997,27.14893684611547,2494442.8467967315,132.9933278311333,-34.99850571402154
31.314598369615524,31.075798354866453,444034.11751299206,141.0253854294853,-29.189133230147633
27.06743874084662,32.861374282663576,972788.4165580954,136.50090378278742,-28.50851591691461
19.35864010169534,31.54190488196389,1497019.7058235912,129.393931036344,-31.003446899944635
22.229281973024147,30.312964729429588,1808569.4202578226,132.45741876887303,-31.864615540283403
25.08886106418997,35.671153840511,238146.48329790973,133.9840786870525,-26.148571176142703
23.966350835007724,38.610037260527804,956435.4363909437,132.37556020066788,-23.44566488999853
32.65874346132644,33.93813964286775,440616.95880821126,141.17002550909825,-26.11327211667186
33.2235061701234,35.32215258321473,7845782.845420861,141.1359248987309,-24.653659117790312
31.46841940098977,38.112567600018366,784366.9786425848,138.6974037038213,-22.469752666303872
38.13434779801032,39.88649879605044,271585.71104786114,143.20134858566087,-18.972837207665176
41.51114800070418,43.75474442941928,3060227.912029302,143.8833562527912,-14.405488244707632
36.2936585388886,43.545437743761255,1.523358826502646E7,140.39351421389085,-16.125325635319783
39.674838274660765,46.53757511857585,258084.1812125526,141.46024804873457,-12.439333509781239
26.856234031412757,40.15223374560431,509871.7860650461,134.3900879752286,-21.470572261052357
24.977910180898995,39.66837126722141,163378.73575405002,132.98748028607702,-22.2550282963728
29.287080556460268,44.05204280885758,214033.65973956286,135.2196988616567,-17.24628912149463
34.396343533829736,46.095743850213104,635819.7625670707,138.15671120504564,-14.213821784821931
37.368738381798444,49.06157721064147,857080.2444094646,138.99283658954064,-10.728746035111415
30.128830316387926,47.728257704493494,504803.1199598923,134.78483019182144,-13.547421846839573
32.68362533417775,51.520006947141646,516656.2961684994,135.28411171321997,-9.439906040124269
9.715939852051173,33.03776281246363,1074981.425208969,119.89639907159446,-29.759864636646036
7.076148046248065,35.29848274240871,4667428.889191947,117.61995993349738,-27.334551950035983
18.095398241726308,38.12015971575267,400460.670694262,127.45953610864679,-24.567401024613332
18.369002170493015,40.91966295757669,225981.37704673086,127.41214715224143,-21.760295810555245
11.844290783996819,42.620483365132316,271696.76704047987,122.13571463755322,-20.244988800980934
13.47371724278283,45.9448599568441,1246696.2271338124,123.37836258628955,-16.924760259218225
6.000679760398056,42.408741801697964,657959.6247312414,117.5415802271417,-20.175681343222056
1.24685662036182,44.04608358244578,202842.1502174563,114.17967830910563,-18.034856871925545
1.1293347530770548,46.6222891043664,252437.7234530289,114.60093141165949,-15.489077113967314
10.894321592476382,48.06325629270627,565388.636700924,121.57373404899879,-14.7877631480763
4.662811579794209,48.32223517748219,603016.44282427,117.32023084287124,-14.191949659734771
6.066942826659642,50.30594077395777,4985756.1991649745,118.49711628076248,-12.331705382055363
2.3674779808389377,52.663965352269194,418259.5172397228,116.49919014858278,-9.682815068580092
20.395570945139614,46.7584059152326,486159.0523465204,128.28977096446238,-15.799509504726302
21.84630340540023,50.41896787374789,918828.1167722341,128.77307564316138,-12.044641808975022
19.108176015125984,48.76344178027831,180563.03906885145,127.1706295843437,-13.902490281982558
15.9670839483453,53.65280592857884,1566382.4138505696,124.7970034859694,-9.17392330426307
