ra,dec,flux
38.69853601247082,61.438091024552094,167156.39641006093
46.70561568637802,63.20970924727897,189261.7160576935
64.17782552168845,58.15485538125945,515453.1066788981
69.77348933012547,61.40054713420438,5095077.629991766
55.32339290214719,61.1347335379756,508658.1126086534
72.80566659350625,61.52656184731574,4220446.655812787
86.4678860230822,65.86531262973983,3713585.371724092
72.36334672959828,66.46157470157057,270595.16689179355
82.0943380161968,70.41841604223094,585711.0004975105
57.96774669652971,65.04772313191647,2045954.6770832282
55.370767696720726,66.92208603449679,368150.5645739196
56.88001189975216,70.2352674927908,454682.7071235299
74.41702432972902,71.7514738584668,449312.9165606808
68.51478117789885,71.47330521462797,979095.749766575
77.19097402549136,73.90177952551143,1033841.7689800541
27.786314056330372,56.18438234938203,230396.10417645876
26.040644796926177,56.88340817511059,615495.9001141428
31.80021564145852,58.78774856914831,2.126212025866415E7
28.406510865420607,61.82802180695461,321599.7579676016
25.050193834426274,60.72064557495229,232005.77354057107
21.69026774038663,61.866456248438396,7146756.489155104
27.942473918466614,64.08686775492733,1334450.1672789527
37.63555636838314,63.187946590741845,1378721.7005682844
38.41752134622042,64.78725700733509,396626.9679392859
24.167635900374396,67.27556288184527,256984.79348083684
17.106487419310984,61.72476229516642,385725.7701658352
10.590065996515754,64.70610479130525,1446300.939346614
10.117299012941494,64.29253289286845,5968148.488296397
5.240791630014763,68.33246528528908,245600.44787227266
17.697652404179966,70.89402704991775,209081.37981353034
22.178076089153162,73.9515786312263,487619.60529744305
5.640342831244856,73.82592330889082,778211.7248809497
47.292490219297754,67.91438188842241,834760.0973163557
49.06606080067401,71.56401757790755,2965141.514280622
37.77860063946113,73.01794380183215,239432.38149997673
57.87289492995611,73.89252072816367,813206.7687284661
82.357252260974,77.97745201773161,4.0439245735606104E7
51.23025415534386,77.52441280695024,468951.06165146804
78.78636102364793,81.9653850096981,2243130.199799497
44.18366631769336,78.43711543154936,791938.7787257786
1.5622392852242353,78.46197419003536,262764.71628258395
6.8931163158000395,82.71277188221579,260255.66742348956
74.8054262148132,83.35544093593707,222022.38013017675
14.345415025517584,83.70815439215444,3188168.7870984576
132.7312861561386,2.2170452031536967,887125.3656660577
140.42484702973985,8.211802775408222,7780797.143641415
133.2081787372442,8.962265943413739,417571.2891061016
138.6009311535171,13.441516820731602,367728.44305960037
